編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-03-06,21:10,北緯 23.79 ° 東經 121.57 °, 23.79 , 121.57 ,花蓮縣政府南南西方  22.8  公里 ,1級,3.4,24.9
,2023-03-06,12:20,北緯 23.68 ° 東經 121.69 °, 23.68 , 121.69 ,花蓮縣政府南南東方  35.1  公里 ,2級,4.2,49.6
,2023-03-06,08:31,北緯 24.18 ° 東經 121.87 °, 24.18 , 121.87 ,花蓮縣政府東北方  32.6  公里 ,2級,3.9,24.4
,2023-03-05,15:19,北緯 24.53 ° 東經 121.84 °, 24.53 , 121.84 ,宜蘭縣政府南南東方  23.4  公里 ,3級,3.6,9.0
,2023-03-04,01:57,北緯 24.05 ° 東經 122.15 °, 24.05 , 122.15 ,花蓮縣政府東方  54.7  公里 ,2級,4.8,18.6
,2023-03-03,22:48,北緯 24.86 ° 東經 121.91 °, 24.86 , 121.91 ,宜蘭縣政府東北方  20.2  公里 ,2級,5.0,108.7
016   ,2023-03-03,00:48,北緯 24.53 ° 東經 121.83 °, 24.53 , 121.83 ,宜蘭縣政府南南東方  23.5  公里 ,4級,4.9,11.3
015   ,2023-03-02,19:25,北緯 24.53 ° 東經 121.83 °, 24.53 , 121.83 ,宜蘭縣政府南南東方  23.3  公里 ,4級,4.2,10.5
,2023-03-02,18:40,北緯 23.49 ° 東經 121.32 °, 23.49 , 121.32 ,花蓮縣政府南南西方  63.5  公里 ,3級,3.5,8.9
,2023-03-02,15:01,北緯 23.07 ° 東經 121.35 °, 23.07 , 121.35 ,臺東縣政府北北東方  40.2  公里 ,2級,4.1,19.5
,2023-04-30,15:52,北緯 23.1 ° 東經 121.16 °, 23.1 , 121.16 ,臺東縣政府北方  38.0  公里 ,2級,3.5,13.6
,2023-04-30,05:44,北緯 23.94 ° 東經 121.46 °, 23.94 , 121.46 ,花蓮縣政府西南西方  17.2  公里 ,2級,3.1,19.1
